LKneeAngle
File	Frame	X 	Y 	Z 
C:\Motion Data\1244\Processed\1244jb31.c3d	
 - 	142	-5.374202	3.084619	-3.087676
 - 	143	-3.163360	2.576995	-3.650823
 - 	144	-1.521248	2.978963	-3.830305
 - 	145	-4.497375	3.136009	-1.154794
 - 	146	-4.739546	4.593758	-3.707697
 - 	147	-4.135846	4.156982	-3.536651
 - 	148	-2.651527	4.470270	-4.818141
 - 	149	-0.704711	3.772111	-2.617043
 - 	150	-0.488437	4.167933	-0.440377
 - 	151	-0.631182	4.457436	1.048717
 - 	152	-1.420395	5.112608	0.347179
 - 	153	-2.589948	5.925631	0.277434
 - 	154	-3.098447	5.859647	0.442176
 - 	155	-3.213573	5.428312	-0.253636
 - 	156	-2.744665	5.093318	-0.884946
 - 	157	-2.789719	5.572940	-0.439526
 - 	158	-1.699317	4.693502	-1.056959
 - 	159	-1.013612	4.048590	-0.275936
 - 	160	-0.686936	3.468178	2.366713
 - 	161	-0.221119	3.243650	1.662264
 - 	162	0.509069	2.837621	2.013170
 - 	163	1.398955	2.550515	2.233727
 - 	164	1.446716	1.784672	2.068901
 - 	165	1.704421	1.851084	2.838932
 - 	166	2.078730	1.719882	2.719642
 - 	167	2.545434	1.190489	2.910860
 - 	168	2.775686	1.169370	3.016523
 - 	169	3.516649	1.326606	3.403907
 - 	170	4.024233	1.144971	4.379609
 - 	171	5.029209	1.118115	4.562710
 - 	172	6.349762	0.915418	4.821642
 - 	173	7.350147	0.659171	5.141672
 - 	174	8.391032	0.885153	5.645882
 - 	175	9.760852	0.648765	5.870337
 - 	176	11.406159	0.261497	5.445544
 - 	177	13.553331	-0.026436	3.892211
 - 	178	15.965277	-0.317682	2.445776
 - 	179	18.857201	-0.982831	0.358536
 - 	180	21.706106	-2.187515	-0.098303
 - 	181	25.593929	-3.830037	-2.356231
 - 	182	30.078163	-7.334056	-3.719086
 - 	183	35.507374	-8.997004	-2.442811
 - 	184	41.060997	-11.264701	-1.673169
 - 	185	47.343285	-11.630428	-0.678078
 - 	186	52.404968	-12.848434	0.361654
 - 	187	57.206585	-12.752618	-0.185094
 - 	188	59.773521	-13.937292	0.121098
 - 	189	61.988270	-13.462054	-0.319186
 - 	190	63.054253	-13.386815	-0.055533
 - 	191	62.343155	-14.110723	0.240539
 - 	192	61.419434	-13.604299	-1.583743
 - 	193	58.919529	-13.699340	-1.539615
 - 	194	56.095135	-12.734315	-3.337982
 - 	195	52.438728	-12.216419	-5.469631
 - 	196	48.436371	-11.317612	-7.840494
