LHipAngle
File	Frame	X 	Y 	Z 
C:\Motion Data\1244\Processed\1244jb31.c3d	
 - 	138	-24.183542	0.635036	-9.366384
 - 	139	-22.725763	1.135211	-10.598865
 - 	140	-22.116255	1.069776	-11.585361
 - 	141	-21.475136	1.203513	-11.566358
 - 	142	-20.606035	1.704629	-11.523738
 - 	143	-19.781059	1.653784	-10.616160
 - 	144	-18.134638	1.615642	-10.891619
 - 	145	-15.648877	2.501311	-11.159887
 - 	146	-12.802496	2.940905	-10.142859
 - 	147	-11.709524	3.675234	-7.455256
 - 	148	-10.695393	4.489267	-6.013854
 - 	149	-9.929591	6.404961	-5.090758
 - 	150	-9.068480	8.226964	-6.256080
 - 	151	-6.776188	8.203940	-6.898775
 - 	152	-4.300225	8.461689	-7.322635
 - 	153	-1.876227	7.743312	-8.362295
 - 	154	0.314448	7.945571	-9.310139
 - 	155	0.825508	7.804083	-8.411020
 - 	156	1.642412	7.907804	-7.507259
 - 	157	2.534364	6.394048	-8.066086
 - 	158	2.234491	6.875810	-7.359603
 - 	159	3.093220	6.609610	-7.423069
 - 	160	3.884869	6.326435	-8.364216
 - 	161	4.582498	5.884264	-8.193435
 - 	162	5.230534	5.269585	-7.869267
 - 	163	4.785315	4.486698	-6.143770
 - 	164	6.188013	4.376502	-6.646809
 - 	165	7.128904	3.588820	-7.034719
 - 	166	7.303509	2.712255	-6.332213
 - 	167	7.462270	2.507788	-5.371433
 - 	168	8.714334	1.915506	-6.385261
 - 	169	9.269567	1.621039	-6.269363
 - 	170	9.859814	1.286339	-6.795382
 - 	171	9.923565	0.595009	-6.523910
 - 	172	10.700855	0.037190	-7.171396
 - 	173	11.323043	-0.010302	-7.185355
 - 	174	12.352393	-1.033602	-8.156190
 - 	175	11.943841	-1.423503	-7.252050
 - 	176	12.275092	-2.548083	-8.079997
 - 	177	12.599283	-4.000703	-8.181869
 - 	178	12.672342	-4.741537	-7.728106
 - 	179	11.768353	-6.561488	-7.578243
 - 	180	11.305766	-8.432513	-11.515311
 - 	181	11.428873	-11.132915	-14.362980
 - 	182	10.385527	-13.034449	-17.703510
 - 	183	7.798790	-13.944131	-18.712997
 - 	184	4.454086	-13.686023	-18.855463
 - 	185	0.858832	-12.919836	-16.885340
 - 	186	-2.436168	-11.566738	-15.174918
 - 	187	-5.847940	-11.019991	-12.054279
 - 	188	-8.168831	-9.344907	-10.434659
 - 	189	-11.373494	-8.676456	-8.819248
 - 	190	-14.529513	-6.981697	-8.222515
 - 	191	-16.614283	-4.847109	-8.939826
 - 	192	-18.075754	-3.755172	-8.313847
 - 	193	-19.743557	-1.858777	-10.223439
 - 	194	-21.604923	-1.913053	-10.689047
 - 	195	-23.405436	1.240259	-12.796752
 - 	196	-23.423660	-1.084573	-10.285154
