RShoulderAngle
File	Frame	X 	Y 	Z 
C:\Motion Data\1244\Processed\1244jb31.c3d	
 - 	137	29.405226	-3.077228	-154.529922
 - 	138	29.785210	-3.135589	-154.425613
 - 	139	29.496313	-3.258548	-154.468460
 - 	140	29.220491	-2.773762	-154.216354
 - 	141	28.468361	-2.091575	-154.070969
 - 	142	27.703344	-2.334575	-154.304733
 - 	143	26.676018	-2.261706	-154.337082
 - 	144	25.187475	-2.279790	-154.007965
 - 	145	23.838541	-1.955458	-153.943359
 - 	146	22.465477	-1.997492	-154.137680
 - 	147	21.007120	-1.904552	-154.031265
 - 	148	19.536055	-2.174939	-153.594223
 - 	149	18.253469	-2.328705	-153.609406
 - 	150	17.409679	-3.122525	-153.594513
 - 	151	16.522007	-3.454541	-153.055130
 - 	152	16.049271	-4.259476	-154.103592
 - 	153	15.667081	-4.608653	-154.006897
 - 	154	15.270705	-5.614442	-155.072739
 - 	155	14.938442	-6.069163	-155.360367
 - 	156	14.621817	-6.486753	-155.170532
 - 	157	14.312091	-7.067857	-155.060944
 - 	158	13.781334	-7.252589	-154.097244
 - 	159	13.033278	-7.401829	-153.105072
 - 	160	12.492773	-8.044819	-152.673233
 - 	161	11.746036	-8.646294	-151.465378
 - 	162	11.094704	-9.464874	-150.226959
 - 	163	10.532063	-9.714784	-148.718567
 - 	164	9.739608	-11.223110	-148.498489
 - 	165	9.051413	-12.172585	-147.457916
 - 	166	8.298227	-13.251561	-147.318542
 - 	167	7.722812	-13.019805	-146.031158
 - 	168	7.115575	-14.040981	-144.617065
 - 	169	6.424754	-14.606997	-144.595642
 - 	170	5.926289	-15.208315	-143.897995
 - 	171	5.676978	-14.212202	-141.985199
 - 	172	5.066765	-15.004488	-140.919785
 - 	173	4.688189	-14.727075	-139.369720
 - 	174	4.418211	-14.582227	-136.202591
 - 	175	3.637775	-13.900670	-136.767288
 - 	176	3.858423	-13.625627	-134.772781
 - 	177	3.209111	-13.866580	-134.795959
 - 	178	3.000090	-13.898930	-134.031372
 - 	179	2.017823	-13.830713	-134.304504
 - 	180	2.233781	-13.488851	-134.766403
 - 	181	2.348308	-14.088831	-135.767014
 - 	182	2.493755	-14.181139	-137.361465
 - 	183	2.883442	-13.755887	-137.560135
 - 	184	3.338619	-13.023166	-137.892380
 - 	185	4.341721	-12.047297	-140.307571
 - 	186	5.335897	-10.550359	-140.809372
 - 	187	6.674720	-8.899034	-142.095215
 - 	188	9.182937	-5.886316	-132.607574
 - 	189	9.268879	-6.733252	-145.374695
 - 	190	10.925449	-5.526809	-146.027420
 - 	191	12.709721	-5.211002	-148.630722
 - 	192	14.539188	-4.422295	-149.510071
 - 	193	16.074400	-3.891762	-149.889297
 - 	194	17.604187	-3.611656	-151.085678
 - 	195	19.446354	-4.015166	-152.771988
 - 	196	21.054270	-4.036442	-154.073608
