 10	20	0.105562	202.012070	59.100441	44.835705
 10	21	0.111117	200.733459	58.940651	44.736526
 10	22	0.116673	199.448212	58.783817	44.637611
 10	23	0.122229	198.149216	58.632240	44.540764
 10	24	0.127785	196.830872	58.487122	44.449455
 10	25	0.133341	195.491089	58.348438	44.367832
 10	26	0.138897	194.131256	58.215195	44.299850
 10	27	0.144453	192.755249	58.085793	44.248699
 10	28	0.150009	191.368454	57.958244	44.216335
 10	29	0.155564	189.976578	57.830498	44.203835
 10	30	0.161120	188.584503	57.700825	44.212273
 10	31	0.166676	187.195038	57.568214	44.243061
 10	32	0.172232	185.807922	57.432716	44.297218
 10	33	0.177788	184.421097	57.295422	44.374348
 10	34	0.183344	183.033401	57.157978	44.472542
 10	35	0.188900	181.645340	57.021904	44.589371
 10	36	0.194456	180.257965	56.888023	44.722984
 10	37	0.200011	178.872375	56.756420	44.872433
 10	38	0.205567	177.490204	56.626923	45.036900
 10	39	0.211123	176.113647	56.499584	45.214893
 10	40	0.216679	174.745346	56.374592	45.404045
 10	41	0.222235	173.388580	56.251812	45.601387
 10	42	0.227791	172.046936	56.130703	45.803738
 10	43	0.233347	170.723206	56.010647	46.008217
 10	44	0.238903	169.418243	55.891373	46.212727
 10	45	0.244458	168.130112	55.773148	46.416180
 10	46	0.250014	166.854736	55.656609	46.618332
 10	47	0.255570	165.587845	55.542366	46.819500
 10	48	0.261126	164.326843	55.430870	47.020748
 10	49	0.266682	163.072083	55.322395	47.223766
 10	50	0.272238	161.827057	55.216782	47.429871
 10	51	0.277794	160.596924	55.113338	47.639229
 10	52	0.283350	159.386383	55.011204	47.850983
 10	53	0.288905	158.198792	54.909851	48.063480
 10	54	0.294461	157.037186	54.809559	48.274364
 10	55	0.300017	155.905106	54.711506	48.480610
 10	56	0.305573	154.805756	54.617367	48.678757
 10	57	0.311129	153.740936	54.528675	48.865273
 10	58	0.316685	152.710800	54.446526	49.036804
 10	59	0.322241	151.714798	54.371605	49.190384
 10	60	0.327797	150.751785	54.304234	49.323799
 10	61	0.333352	149.820084	54.244331	49.435966
 10	62	0.338908	148.918060	54.191589	49.526966
 10	63	0.344464	148.044556	54.145832	49.597408
 10	64	0.350020	147.198761	54.107185	49.647480
 10	65	0.355576	146.380402	54.075890	49.676540
 10	66	0.361132	145.589630	54.052132	49.683617
 10	67	0.366688	144.826935	54.036102	49.668289
 10	68	0.372244	144.092606	54.028160	49.631039
 10	69	0.377799	143.386581	54.028713	49.572880
 10	70	0.383355	142.708344	54.037884	49.494751
 10	71	0.388911	142.057053	54.055439	49.397137
 10	72	0.394467	141.431732	54.081009	49.279968
 10	73	0.400023	140.831070	54.114281	49.143150
 10	74	0.405579	140.253693	54.155045	48.987423
 10	75	0.411135	139.698273	54.203102	48.814590
 10	76	0.416691	139.162827	54.257938	48.627007
 10	77	0.422246	138.643692	54.318378	48.427368
 10	78	0.427802	138.135254	54.382374	48.219147
 10	79	0.433358	137.630753	54.447182	48.006676
 10	80	0.438914	137.123810	54.509949	47.794456
 10	81	0.444470	136.609283	54.568199	47.586468
 10	82	0.450026	136.083252	54.620056	47.386234
 10	83	0.455582	135.542633	54.664154	47.197025
 10	84	0.461138	134.985336	54.699448	47.021442
 10	85	0.466693	134.410553	54.724911	46.860950
 10	86	0.472249	133.818054	54.739449	46.716114
 10	87	0.477805	133.207443	54.742092	46.587158
 10	88	0.483361	132.578278	54.732166	46.474236
 10	89	0.488917	131.930908	54.709297	46.377190
 10	90	0.494473	131.267120	54.673405	46.295387
 10	91	0.500029	130.590118	54.624821	46.228027
 10	92	0.505585	129.904755	54.564377	46.174580
 10	93	0.511140	129.217194	54.493633	46.134712
 10	94	0.516696	128.533783	54.415276	46.107918
 10	95	0.522252	127.860374	54.333248	46.093353
 10	96	0.527808	127.202271	54.252247	46.090050
 10	97	0.533364	126.564194	54.176701	46.097336
 10	98	0.538920	125.949440	54.109989	46.114971
 10	99	0.544476	125.358963	54.054199	46.143002
 10	100	0.550032	124.790939	54.010288	46.181351
 10	101	0.555587	124.241379	53.978264	46.229286
 10	102	0.561143	123.705215	53.957035	46.285175
 10	103	0.566699	123.177322	53.944462	46.346718
 10	104	0.572255	122.653076	53.938023	46.411461
 10	105	0.577811	122.129211	53.935680	46.477131
 10	106	0.583367	121.604736	53.936211	46.541637
 10	107	0.588923	121.081047	53.939106	46.603092
 10	108	0.594479	120.561218	53.944283	46.659874
 10	109	0.600034	120.049255	53.951714	46.710629
 10	110	0.605590	119.549385	53.961136	46.754402
 10	111	0.611146	119.065430	53.971901	46.790672
 10	112	0.616702	118.600594	53.983047	46.819317
 10	113	0.622258	118.157333	53.993519	46.840645
 10	114	0.627814	117.737480	54.002644	46.855492
 10	115	0.633370	117.342209	54.010483	46.865250
 10	116	0.638926	116.971588	54.017750	46.871597
 10	117	0.644481	116.624268	54.025448	46.876118
 10	118	0.650037	116.298203	54.034538	46.879848
 10	119	0.655593	115.991768	54.045948	46.883003
 10	120	0.661149	115.704041	54.060604	46.884983
 10	121	0.666705	115.434326	54.079109	46.884739
 10	122	0.672261	115.182053	54.101349	46.881142
 10	123	0.677817	114.946609	54.126465	46.873241
 10	124	0.683373	114.727211	54.153275	46.860512
 10	125	0.688928	114.522522	54.180725	46.843094
 10	126	0.694484	114.330414	54.208138	46.821877
 10	127	0.700040	114.147957	54.235172	46.798149
 10	128	0.705596	113.971863	54.261559	46.772999
 10	129	0.711152	113.798615	54.286953	46.747108
 10	130	0.716708	113.624825	54.310951	46.721066
 10	131	0.722264	113.448250	54.333076	46.695518
