450.9	581.99	480.63
451.9	570.37	482.74
452.88	559.05	484.81
453.83	548.06	486.79
454.71	537.41	488.65
455.53	527.11	490.37
456.28	517.15	491.9
456.96	507.52	493.24
457.56	498.2	494.36
458.08	489.18	495.27
458.54	480.45	495.97
458.93	471.99	496.47
459.24	463.8	496.77
459.48	455.9	496.84
459.64	448.27	496.68
459.72	440.93	496.31
459.71	433.87	495.73
459.62	427.08	494.95
459.45	420.57	493.97
459.19	414.32	492.8
458.86	408.31	491.43
458.45	402.54	489.87
457.97	396.98	488.15
457.42	391.63	486.27
456.82	386.44	484.27
456.18	381.35	482.19
455.53	376.31	480.07
454.9	371.24	477.94
454.32	366.09	475.86
453.8	360.83	473.86
453.36	355.43	471.97
453.01	349.85	470.21
452.75	344.11	468.61
452.61	338.18	467.16
452.58	332.07	465.87
452.68	325.78	464.74
452.91	319.31	463.77
453.27	312.67	462.95
453.75	305.9	462.28
454.36	299.05	461.75
455.06	292.17	461.35
455.85	285.34	461.08
456.67	278.6	460.93
457.48	272.02	460.9
458.23	265.64	460.97
458.9	259.49	461.15
459.46	253.59	461.43
459.9	247.91	461.81
460.22	242.41	462.29
460.43	237.05	462.85
460.56	231.77	463.47
460.62	226.53	464.11
460.64	221.29	464.77
460.64	216.05	465.42
460.61	210.81	466.03
460.56	205.61	466.6
460.48	200.49	467.11
460.39	195.49	467.54
460.28	190.65	467.91
460.17	186.01	468.19
460.06	181.57	468.41
459.97	177.37	468.55
459.9	173.42	468.65
459.82	169.72	468.72
459.75	166.24	468.76
459.65	162.98	468.8
459.54	159.92	468.83
459.39	157.04	468.85
459.21	154.34	468.85
458.99	151.82	468.81
458.74	149.47	468.73
458.47	147.27	468.61
458.19	145.23	468.43
457.92	143.3	468.22
457.65	141.48	467.98
457.38	139.72	467.73
457.13	137.99	467.47
456.89	136.25	467.21
456.67	134.48	466.96
456.47	132.68	466.71
456.3	130.85	466.48
456.16	129	466.27
456.04	127.13	466.08
455.95	125.23	465.92
455.9	123.3	465.78
455.87	121.32	465.68
455.88	119.28	465.61
455.93	117.19	465.57
456.02	115.09	465.55
456.16	113	465.52
456.35	110.94	465.49
456.58	108.92	465.44
456.84	106.93	465.37
457.13	104.97	465.27
457.43	103.02	465.16
457.72	101.08	465.02
458.01	99.106	464.87
458.28	97.096	464.7
458.53	95.028	464.5
458.76	92.886	464.27
458.97	90.658	464.02
459.17	88.336	463.75
459.36	85.904	463.47
459.54	83.346	463.18
459.72	80.651	462.88
459.92	77.814	462.53
460.15	74.844	462.15
460.41	71.77	461.72
460.71	68.633	461.26
461.07	65.469	460.77
461.5	62.311	460.29
461.99	59.18	459.82
462.54	56.085	459.39
463.14	53.015	459.01
463.78	49.948	458.66
464.43	46.855	458.35
465.07	43.703	458.06
465.69	40.448	457.8
466.27	37.049	457.56
466.82	33.48	457.34
467.34	29.728	457.14
467.84	25.799	456.94
468.34	21.711	456.74
468.84	17.499	456.52
469.37	13.2	456.27
469.94	8.8362	455.97
470.57	4.4172	455.62
471.26	-0.0547	455.22
472.02	-4.5789	454.79
472.83	-9.1605	454.33
473.68	-13.815	453.86
474.54	-18.564	453.39
475.39	-23.433	452.93
476.24	-28.443	452.48
477.08	-33.614	452.02
477.93	-38.962	451.58
478.79	-44.503	451.14
479.67	-50.25	450.71
480.57	-56.221	450.27
481.48	-62.443	449.82
482.39	-68.943	449.36
483.29	-75.741	448.91
484.18	-82.852	448.46
485.06	-90.29	448.02
485.93	-98.064	447.58
486.82	-106.18	447.14
487.73	-114.64	446.68
488.65	-123.45	446.21
489.59	-132.63	445.71
490.55	-142.2	445.19
491.52	-152.16	444.62
492.52	-162.53	444.01
493.54	-173.29	443.34
494.6	-184.45	442.62
495.69	-195.98	441.86
496.82	-207.85	441.07
497.99	-220.03	440.28
499.19	-232.52	439.51
500.39	-245.28	438.79
501.6	-258.33	438.17
502.8	-271.65	437.69
503.99	-285.25	437.37
505.15	-299.13	437.27
506.27	-313.32	437.42
507.35	-327.83	437.86
508.36	-342.66	438.61
509.32	-357.81	439.69
510.23	-373.24	441.06
511.09	-388.89	442.71
511.91	-404.66	444.6
512.71	-420.4	446.66
513.51	-435.98	448.84
514.33	-451.28	451.09
515.18	-466.22	453.41
516.05	-480.78	455.77
516.92	-494.95	458.16
517.79	-508.7	460.6
518.64	-522.05	463.06
519.46	-535.01	465.56
520.28	-547.64	468.06
521.09	-559.99	470.56
521.92	-572.1	473.04
522.76	-584.02	475.48
523.6	-595.76	477.87
524.44	-607.34	480.22
