	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL
	HIP_X	HIP_X	HIP_X	HIP_Y	HIP_Y	HIP_Y	HIP_Z	HIP_Z	HIP_Z	KNEE_X	KNEE_X	KNEE_X	KNEE_Y	KNEE_Y	KNEE_Y	KNEE_Z	KNEE_Z	KNEE_Z	VHIP_X	VHIP_X	VHIP_X	VHIP_Y	VHIP_Y	VHIP_Y	VHIP_Z	VHIP_Z	VHIP_Z	VKNEE_X	VKNEE_X	VKNEE_X	VKNEE_Y	VKNEE_Y	VKNEE_Y	VKNEE_Z	VKNEE_Z	VKNEE_Z
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
12	12.000000	0.160701	0.018157	12.000000	0.989200	0.026996	12.000000	0.786002	0.002829	12.000000	0.145351	0.021737	12.000000	0.907144	0.030271	12.000000	0.421277	0.000935	12.000000	-0.104597	0.012856	12.000000	-1.342739	0.037502	12.000000	0.136591	0.022598	12.000000	-0.079349	0.018219	12.000000	-0.752982	0.080626	12.000000	0.021451	0.020951
13	13.000000	0.159769	0.018183	13.000000	0.976069	0.027089	13.000000	0.787289	0.003017	13.000000	0.144584	0.021559	13.000000	0.900332	0.030732	13.000000	0.421352	0.001127	13.000000	-0.085352	0.012544	13.000000	-1.317431	0.039298	13.000000	0.127656	0.025987	13.000000	-0.077441	0.020065	13.000000	-0.644688	0.085482	13.000000	0.003519	0.023343
14	14.000000	0.159026	0.018177	14.000000	0.963199	0.027224	14.000000	0.788495	0.003242	14.000000	0.143831	0.021362	14.000000	0.894524	0.031166	14.000000	0.421289	0.001333	14.000000	-0.067574	0.012434	14.000000	-1.291669	0.041320	14.000000	0.122540	0.027193	14.000000	-0.076778	0.022342	14.000000	-0.552692	0.093036	14.000000	-0.005637	0.025589
15	15.000000	0.158450	0.018149	15.000000	0.950585	0.027392	15.000000	0.789673	0.003476	15.000000	0.143077	0.021159	15.000000	0.889537	0.031600	15.000000	0.421183	0.001550	15.000000	-0.052112	0.013049	15.000000	-1.266681	0.042625	15.000000	0.122255	0.025847	15.000000	-0.077236	0.024514	15.000000	-0.478206	0.100479	15.000000	-0.006150	0.027627
16	16.000000	0.158013	0.018111	16.000000	0.938215	0.027576	16.000000	0.790877	0.003688	16.000000	0.142312	0.020964	16.000000	0.885190	0.032066	16.000000	0.421120	0.001778	16.000000	-0.039357	0.014643	16.000000	-1.243504	0.042599	16.000000	0.126372	0.022445	16.000000	-0.078297	0.026221	16.000000	-0.420299	0.105701	16.000000	0.000580	0.029403
17	17.000000	0.157689	0.018071	17.000000	0.926063	0.027760	17.000000	0.792149	0.003850	17.000000	0.141532	0.020790	17.000000	0.881327	0.032595	17.000000	0.421164	0.002019	17.000000	-0.029264	0.016731	17.000000	-1.222848	0.041157	17.000000	0.133124	0.017979	17.000000	-0.079110	0.027486	17.000000	-0.376212	0.107626	17.000000	0.012109	0.030649
18	18.000000	0.157450	0.018039	18.000000	0.914102	0.027934	18.000000	0.793503	0.003947	18.000000	0.140745	0.020644	18.000000	0.877829	0.033197	18.000000	0.421346	0.002269	18.000000	-0.021594	0.018515	18.000000	-1.205068	0.038766	18.000000	0.140095	0.013501	18.000000	-0.078808	0.028006	18.000000	-0.342586	0.106204	18.000000	0.025854	0.031115
19	19.000000	0.157274	0.018016	19.000000	0.902302	0.028099	19.000000	0.794929	0.003972	19.000000	0.139966	0.020522	19.000000	0.874608	0.033866	19.000000	0.421675	0.002521	19.000000	-0.016043	0.019512	19.000000	-1.190310	0.036161	19.000000	0.144765	0.010330	19.000000	-0.076499	0.026973	19.000000	-0.316025	0.101934	19.000000	0.039469	0.030601
20	20.000000	0.157143	0.018003	20.000000	0.890633	0.028261	20.000000	0.796389	0.003928	20.000000	0.139219	0.020418	20.000000	0.871616	0.034578	20.000000	0.422136	0.002768	20.000000	-0.012275	0.019788	20.000000	-1.178549	0.034072	20.000000	0.145015	0.010652	20.000000	-0.071452	0.023212	20.000000	-0.293854	0.095723	20.000000	0.051388	0.029129
21	21.000000	0.157041	0.017993	21.000000	0.879064	0.028426	21.000000	0.797829	0.003823	21.000000	0.138536	0.020327	21.000000	0.868823	0.035301	21.000000	0.422706	0.002999	21.000000	-0.009966	0.019712	21.000000	-1.169576	0.032961	21.000000	0.139423	0.014715	21.000000	-0.063129	0.016228	21.000000	-0.274061	0.088480	21.000000	0.060702	0.026810
